Наименование,Марка,Длина,"Цена за 1т, руб.","Цена за 1т, руб. с НДС",Поставщик
Арматура А1 10 уценка,А240,11.7,40 500,,А ГРУПП ЮС (4242) 30-35-72
Арматура А1 10,,6,48 000,,ЭкспоСпецСталь Мск (495) 984-52-65
Арматура А1 10,А240С,н/д,50 000,,Тульский металлопрокатный завод Мск (495) 419-00-78
Арматура А1 10,,8.9,50 000,,ЭкспоСпецСталь Мск (495) 984-52-65
Арматура А1 10,,11.7,50 000,,ЭкспоСпецСталь Мск (495) 984-52-65
Арматура А1 10,А240С,11.7,55 000>15т,55 0005-15т,Металлоторг Чел (351) 255-08-08
Арматура А1 10,А240С,бухты,56 200>15т,56 5005-15т,Металлоторг Пен (8412) 42-97-12
Арматура А1 10,А240С,бухты,56 200>15т,56 5005-15т,Металлоторг Кур (4712) 39-04-94
Арматура А1 10,А240С,бухты,56 200>15т,56 5005-15т,Металлоторг Бел (4722) 50-90-12
Арматура А1 10,А240С,бухты,56 200>15т,56 5005-15т,Металлоторг Бел (4722) 50-90-12
Арматура А1 10,А240С,бухты,56 200>15т,56 5005-15т,Металлоторг Лип (4742) 75-89-66
Арматура А1 10,А240С,бухты,56 200>15т,56 5005-15т,Металлоторг Врнж (473) 233-32-42
Арматура А1 10,А240С,бухты,56 200>15т,56 5005-15т,Металлоторг Мск (495) 727-39-74
Арматура А1 10,А240,бухты,56 300>1т,56 850<1т,ЕВРАЗ Маркет Чел (800) 511-09-53
Арматура А1 10,ст3,бухты,56 500,,Омега Металл Мск (495) 334-14-01
Арматура А1 10,А240С,бухты,56 800>15т,56 8005-15т,Металлоторг Став (8652) 50-11-81
Арматура А1 10,А240,бухты,57 000,,ДиПОС Мск (495) 504-25-06
Арматура А1 10,А240,бухты,57 000,,ДиПОС Ива (800) 2000-120
Арматура А1 10,А240,11.7,57 250>3т,57 250<3т,ЕВРАЗ Маркет Пер (800) 511-09-53
Арматура А1 10,А240С,11.7,57 500>15т,57 5005-15т,Металлоторг Орен (3532) 43-60-66
Арматура А1 10,А240,11.7,57 800,,ДиПОС Мск (495) 504-25-06
