Наименование,Марка,Длина,"Цена за 1т, руб.","Цена за 1т, руб. с НДС",Поставщик
Арматура А1 10,А240,6,57 800,,ДиПОС Мск (495) 504-25-06
Арматура А1 10,А240,11.7,57 800,,ДиПОС Ива (800) 2000-120
Арматура А1 10,А240,6,57 800,,ДиПОС Ива (800) 2000-120
Арматура А1 10,А240С,бухты,57 800>15т,58 1005-15т,Металлоторг Вмр (4922) 52-22-44
Арматура А1 10,3пс/сп,бухты,57 900,,Ариэль Металл Мск (800) 200-80-21
Арматура А1 10,А240,бухты,58 000>1т,58 4000.5-1т,Сталепромышленная компания Тула (4872) 63-68-47
Арматура А1 10,А240С,6 размотка,58 000>3т,58 000<3т,ЕВРАЗ Маркет Пер (800) 511-09-53
Арматура А1 10,ст3,11.7,58 000,,Омега Металл Мск (495) 334-14-01
Арматура А1 10,ст3,12,58 000,,Омега Металл Мск (495) 334-14-01
Арматура А1 10,ст3,6,58 000,,Омега Металл Мск (495) 334-14-01
Арматура А1 10,А240,бухты,58 000>1т,58 4000.5-1т,Сталепромышленная компания Мск (4912) 77-58-47
Арматура А1 10,А240,бухты,58 000>1т,58 4000.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47
Арматура А1 10,А240,бухты,58 000>1т,58 4000.5-1т,Сталепромышленная компания Яро (4852) 60-85-53
Арматура А1 10,,11.7,58 000>2т,,МБН Маркет СПб (812) 240-74-73
Арматура А1 10,,6,58 000>2т,,МБН Маркет СПб (812) 240-74-73
Арматура А1 10,А240,бухты,58 030>3т,58 030<3т,ЕВРАЗ Маркет Пер (800) 511-09-53
Арматура А1 10,А240,бухты,58 090>3т,58 090<3т,ЕВРАЗ Маркет Мах (800) 511-09-53
Арматура А1 10,А240,11.7,58 200>1т,58 770<1т,ЕВРАЗ Маркет Екб (800) 511-09-53
Арматура А1 10,,11.7,58 300,,Королёвский Трубный Завод Врнж (473) 200-04-29
Арматура А1 10,А240,12,58 500,,А ГРУПП Екб (343) 383-04-20
Арматура А1 10,А240,11.7,58 500>1т,59 070<1т,ЕВРАЗ Маркет Чел (800) 511-09-53
Арматура А1 10,,11.7,58 500>1т,59 070<1т,ЕВРАЗ Маркет Чел (800) 511-09-53
Арматура А1 10,А240,11.7,58 500>3т,58 500<3т,ЕВРАЗ Маркет Уфа (800) 511-09-53
Арматура А1 10,А240С,11.7,58 500>3т,58 500<3т,ЕВРАЗ Маркет Уфа (800) 511-09-53
Арматура А1 10,,бухты,58 800,,РегионСталь Мск (495) 134-05-10
Арматура А1 10,А240,11.7,58 810>1т,59 390<1т,ЕВРАЗ Маркет Орен (800) 511-09-53
Арматура А1 10,А240,12,59 000,,А ГРУПП Мск (495) 617-07-07
Арматура А1 10,А240С,11.7,59 000,,А ГРУПП Мск (495) 617-07-07
Арматура А1 10,,6,59 000>5т,,РУССБЫТЧЕРМЕТ Мск (495) 725-44-74
Арматура А1 10,,11.7,59 000,,Королёвский Трубный Завод Мск (800) 700-50-63
Арматура А1 10,3пс/сп,11.7,59 000,,Ариэль Металл Мск (800) 200-80-21
Арматура А1 10,3пс/сп,6,59 000,,Ариэль Металл Мск (800) 200-80-21
Арматура А1 10,3пс/сп,бухты,59 000,,Ариэль Металл СПб (812) 248-08-88
Арматура А1 10,А240,11.7,59 350>3т,59 350<3т,ЕВРАЗ Маркет Сам (800) 511-09-53
Арматура А1 10,А240,бухты,59 360>1т,59 950<1т,ЕВРАЗ Маркет Крдр (800) 511-09-53
Арматура А1 10,А240,6 размотка,59 450>3т,59 450<3т,ЕВРАЗ Маркет НН (800) 511-09-53
Арматура А1 10,А240С,бухты,59 500,,А ГРУПП Крдр (861) 203-37-36
Арматура А1 10,А240,11.7,59 500>1т,59 9000.5-1т,Сталепромышленная компания Тула (4872) 63-68-47
Арматура А1 10,А240,6,59 500>1т,59 9000.5-1т,Сталепромышленная компания Тула (4872) 63-68-47
Арматура А1 10,ст3,бухты,59 500,,УВМ-СТАЛЬ СПб (812) 458-45-11
Арматура А1 10,3пс/сп,бухты,59 500,,Ариэль Металл Крдр (495) 981-41-45
Арматура А1 10,А240,11.7,59 500>1т,59 9000.5-1т,Сталепромышленная компания Мск (4912) 77-58-47
Арматура А1 10,А240,6,59 500>1т,59 9000.5-1т,Сталепромышленная компания Мск (4912) 77-58-47
Арматура А1 10,А240,11.7,59 500>1т,59 9000.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47
Арматура А1 10,А240,6,59 500>1т,59 9000.5-1т,Сталепромышленная компания Ряз (4912) 77-58-47
Арматура А1 10,3пс/сп,11.7,59 500,,Ариэль Металл СПб (812) 248-08-88
Арматура А1 10,3пс/сп,6,59 500,,Ариэль Металл СПб (812) 248-08-88
Арматура А1 10,А240,11.7,59 500>1т,59 9000.5-1т,Сталепромышленная компания Яро (4852) 60-85-53
Арматура А1 10,А240,6,59 500>1т,59 9000.5-1т,Сталепромышленная компания Яро (4852) 60-85-53
Арматура А1 10,3сп/пс,бухты,59 500>5т,,ЛенСпецСталь СПб (812) 703-47-77
Арматура А1 10,А240С,11.7,59 550>3т,59 550<3т,ЕВРАЗ Маркет Сам (800) 511-09-53
Арматура А1 10,А240,11.7,59 550>3т,59 550<3т,ЕВРАЗ Маркет Каз (800) 511-09-53
Арматура А1 10,А240,6 размотка,59 550>3т,59 550<3т,ЕВРАЗ Маркет Каз (800) 511-09-53
Арматура А1 10,3пс/сп,бухты,59 700,,Ариэль Металл Сртв (495) 981-41-45
Арматура А1 10,А240,12,59 800,,А ГРУПП Чел (351) 751-49-12
Арматура А1 10,,6,59 800,,РегионСталь Мск (495) 134-05-10
Арматура А1 10,А240С,бухты,59 800>15т,60 1005-15т,Металлоторг Вкз (8672) 40-51-46
Арматура А1 10,А240,бухты,59 950>3т,59 950<3т,ЕВРАЗ Маркет НН (800) 511-09-53
Арматура А1 10,А240,6 размотка,59 950>3т,59 950<3т,ЕВРАЗ Маркет Уль (800) 511-09-53
Арматура А1 10,А240,12,60 000,,А ГРУПП Бря (4832) 68-07-70
Арматура А1 10,А240С,11.7,60 000,,А ГРУПП Бря (4832) 68-07-70
Арматура А1 10,А240,бухты,60 000,,А ГРУПП Смо (4812) 29-40-50
Арматура А1 10,А240,бухты,60 000,,Королёвский Трубный Завод Мск (800) 700-50-63
Арматура А1 10,А240,11.7,60 000>3т,60 000<3т,ЕВРАЗ Маркет Бря (800) 511-09-53
Арматура А1 10,А240,6 размотка,60 000>3т,60 000<3т,ЕВРАЗ Маркет Бря (800) 511-09-53
Арматура А1 10,А240С,11.7,60 000>3т,60 000<3т,ЕВРАЗ Маркет Бря (800) 511-09-53
Арматура А1 10,А240,6,60 490>1т,60 890<1т,Стройсталь Мск (800) 250-72-28
Арматура А1 10,А240,12,60 500,,А ГРУПП Смо (4812) 29-40-50
Арматура А1 10,А240С,11.7,60 500,,А ГРУПП Смо (4812) 29-40-50
Арматура А1 10,ст3,6,60 500>1т,61 700<1т,ДиМЕТА Тула (48762) 6-76-35 доб.
Арматура А1 10,ст3,бухты,60 500,,УВМ-СТАЛЬ Тула (4872) 37-94-95
Арматура А1 10,,6,60 500,,БЛОК СПб (812) 309-20-02
Арматура А1 10,ст3,бухты,60 500,,УВМ-СТАЛЬ Ряз (4912) 42-70-28
Арматура А1 10,,6,60 500,,БЛОК Мск (495) 780-80-70
Арматура А1 10,А240,бухты,60 500>3т,60 500<3т,ЕВРАЗ Маркет Сртв (800) 511-09-53
Арматура А1 10,А240,12,60 600,,А ГРУПП Уфа (347) 214-51-14
Арматура А1 10,А240,11.7,60 800>3т,60 800<3т,ЕВРАЗ Маркет Пен (800) 511-09-53
Арматура А1 10,А240,6,61 000,,А ГРУПП Смо (4812) 29-40-50
Арматура А1 10,А240,бухты,61 000>1т,61 590<1т,ЕВРАЗ Маркет Кем (800) 511-09-53
Арматура А1 10,А240,11.7 размотка,61 000>1т,61 290<1т,ЕВРАЗ Маркет СПб (800) 511-09-53
Арматура А1 10,А240,11.7,61 000>3т,61 000<3т,ЕВРАЗ Маркет Кир (800) 511-09-53
Арматура А1 10,А240,11.7,61 000>3т,61 000<3т,ЕВРАЗ Маркет Срнск (800) 511-09-53
Арматура А1 10,,11.7,61 000>5т,64 0001-5т,Айрон Мск (800) 302-34-83
Арматура А1 10,3сп/пс,6,61 000>5т,,ЛенСпецСталь СПб (812) 703-47-77
Арматура А1 10,А240,бухты,61 000>3т,61 000<3т,ЕВРАЗ Маркет Уль (800) 511-09-53
Арматура А1 10,А240,12,61 100,,А ГРУПП НН (831) 429-06-08
Арматура А1 10,А240С,11.7,61 100,,А ГРУПП НН (831) 429-06-08
Арматура А1 10,А240С,11.7,61 100>1т,61 700<1т,ЕВРАЗ Маркет Лип (800) 511-09-53
Арматура А1 10,А240С,11.7,61 100>1т,61 700<1т,ЕВРАЗ Маркет Врнж (800) 511-09-53
Арматура А1 10,А240,11.7,61 100>1т,61 700<1т,ЕВРАЗ Маркет Бел (800) 511-09-53
Арматура А1 10,А240,11.7,61 100>1т,61 700<1т,ЕВРАЗ Маркет СО (800) 511-09-53
Арматура А1 10,А240,6,61 100>1т,61 700<1т,ЕВРАЗ Маркет СО (800) 511-09-53
Арматура А1 10,А240С,бухты,61 200>1т,61 800<1т,ЕВРАЗ Маркет Нкз (800) 511-09-53
Арматура А1 10,3сп,бухты,61 2004-6т,61 6002-4т,МеталлКомплектСнаб Нск (383) 325-31-31
Арматура А1 10,3сп,бухты,61 2004-6т,61 6002-4т,МеталлКомплектСнаб Нск (383) 325-31-31
Арматура А1 10,А240,12,61 300,,А ГРУПП Орел (4862) 44-22-23
Арматура А1 10,А240С,11.7,61 300,,А ГРУПП Орел (4862) 44-22-23
Арматура А1 10,А240,бухты,61 390>3т,61 390<3т,ЕВРАЗ Маркет Бар (800) 511-09-53
Арматура А1 10,3пс,6,61 400,,МеталлХолдинг Мск (4922) 52-22-07 доб.
Арматура А1 10,3пс,11.7,61 400,,МеталлХолдинг Мск (4922) 52-22-07 доб.
Арматура А1 10,3пс,6,61 400,,МеталлХолдинг Вмр (4922) 52-22-07 доб.
Арматура А1 10,3пс,11.7,61 400,,МеталлХолдинг Вмр (4922) 52-22-07 доб.
Арматура А1 10,ст3,11.7,61 500,,УВМ-СТАЛЬ Тула (4872) 37-94-95
Арматура А1 10,ст3,11.7,61 500,,УВМ-СТАЛЬ Ряз (4912) 42-70-28
Арматура А1 10,А240,6,61 500>3т,61 500<3т,ЕВРАЗ Маркет Вмр (800) 511-09-53
Арматура А1 10,А240,12,61 700>3т,61 700<3т,ЕВРАЗ Маркет Омск (800) 511-09-53
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Сртв (8452) 44-65-95
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Сртв (8452) 44-65-95
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг СО (4725) 46-95-40
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Яро (4852) 67-47-05
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Яро (4852) 67-47-05
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Яро (4852) 67-47-05
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Пен (8412) 42-97-12
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Пен (8412) 42-97-12
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Каз (843) 239-53-83
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Каз (843) 239-53-83
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Уль (8422) 34-99-00
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Уль (8422) 34-99-00
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Уль (8422) 34-99-00
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Кур (4712) 39-04-94
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Кур (4712) 39-04-94
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Сыз (846) 374-14-74
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Бел (4722) 50-90-12
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Бел (4722) 50-90-12
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Уфа (347) 287-52-73
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Влгда (8172) 33-03-63
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Влгда (8172) 33-03-63
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Влгда (8172) 33-03-63
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Срнск (8342) 27-07-47
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Срнск (8342) 27-07-47
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Орел (4862) 49-78-28
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Орел (4862) 49-78-28
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг СПб (812) 380-09-04
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг СПб (812) 380-09-04
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Чер (8202) 29-13-77
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Сам (846) 374-14-14
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Лип (4742) 75-89-66
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Лип (4742) 75-89-66
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Врнж (473) 233-32-42
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Врнж (473) 233-32-42
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Влгрд (8442) 53-19-28
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Бря (4832) 72-68-08
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Бря (4832) 72-68-08
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Тула (4872) 31-16-76
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Вмр (4922) 52-22-44
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Мск (495) 727-39-74
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Мск (495) 727-39-74
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Мск (495) 727-39-74
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Чеб (8352) 50-61-98
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг Клг (4842) 55-55-65
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Клг (4842) 55-55-65
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Ряз (4912) 330-203
Арматура А1 10,А240С,6,61 800>15т,62 1005-15т,Металлоторг НН (831) 242-18-39
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг НН (831) 242-18-39
Арматура А1 10,А240С,12,61 800>15т,62 1005-15т,Металлоторг Тве (4822) 74-42-54
Арматура А1 10,А240С,11.7,61 800>15т,62 1005-15т,Металлоторг Тве (4822) 74-42-54
Арматура А1 10,А240,11.7,61 900>3т,61 900<3т,ЕВРАЗ Маркет Тула (800) 511-09-53
Арматура А1 10,А240,6,61 900>3т,61 900<3т,ЕВРАЗ Маркет Тула (800) 511-09-53
Арматура А1 10,А240,6,61 900>3т,61 900<3т,ЕВРАЗ Маркет Тула (800) 511-09-53
Арматура А1 10,А240,12,62 000,,А ГРУПП Бар (3852) 73-05-67
Арматура А1 10,ст3,5.85 6,62 000,,СИТИМЕТ СПб (812) 325-33-10
Арматура А1 10,,бухты,62 000,,МеталлСервисГрупп Мск (4932) 930-330
Арматура А1 10,,6,62 000<1т,,СмолМетТорг Смо (4812) 355-355
Арматура А1 10,,бухты,62 000,,МеталлСервисГрупп Ива (4932) 930-330
Арматура А1 10,А240,бухты,62 140,,СИБМЕТСНАБ Нск (383) 249-37-70
Арматура А1 10,ст3,11.7,62 200,,УВМ-СТАЛЬ Уфа (347) 201-77-07
Арматура А1 10,3сп,6.05,62 2004-6т,62 6002-4т,МеталлКомплектСнаб Нск (383) 325-31-31
Арматура А1 10,3сп,12.05,62 2004-6т,62 6002-4т,МеталлКомплектСнаб Нск (383) 325-31-31
Арматура А1 10,А240,бухты,62 420>3т,62 420<3т,ЕВРАЗ Маркет Крснк (800) 511-09-53
Арматура А1 10,ст3,,62 500,,ПКП Промметалл Екб (343) 216-65-58
Арматура А1 10,3сп/пс,,62 500,,ПКП Промметалл Екб (343) 216-65-58
Арматура А1 10,ст3,,62 500,,ПКП Промметалл Омск (3812) 32-92-52
Арматура А1 10,3сп/пс,,62 500,,ПКП Промметалл Омск (3812) 32-92-52
Арматура А1 10,3пс/сп,11.7,62 600,,Ариэль Металл Сртв (495) 981-41-45
Арматура А1 10,3пс/сп,6,62 600,,Ариэль Металл Сртв (495) 981-41-45
Арматура А1 10,,6,62 600,,Металлопт Мск (916) 746-27-25
Арматура А1 10,,бухты,62 600,,Металлопт Мск (916) 746-27-25
Арматура А1 10,А240С,11.7,62 630>1т,63 240<1т,ЕВРАЗ Маркет РнД (800) 511-09-53
Арматура А1 10,А240,6 размотка,62 630>1т,63 240<1т,ЕВРАЗ Маркет РнД (800) 511-09-53
Арматура А1 10,А240,11.7 размотка,62 630>1т,63 240<1т,ЕВРАЗ Маркет РнД (800) 511-09-53
Арматура А1 10,А240С,12,62 630>1т,63 240<1т,ЕВРАЗ Маркет МВ (800) 511-09-53
Арматура А1 10,А240С,11.7,62 630>1т,63 240<1т,ЕВРАЗ Маркет МВ (800) 511-09-53
Арматура А1 10,ст3,11.7,62 700,,УВМ-СТАЛЬ Екб (343) 288-30-30
Арматура А1 10,ст3,11.7,62 700,,УВМ-СТАЛЬ Чел (351) 220-88-08
Арматура А1 10,А240,бухты,62 700,,Мечел-Сервис СПб (800) 700-95-50
Арматура А1 10,А240С,11.7,62 730>1т,63 350<1т,ЕВРАЗ Маркет Крдр (800) 511-09-53
Арматура А1 10,А240,11.7,62 730>1т,63 350<1т,ЕВРАЗ Маркет Крдр (800) 511-09-53
Арматура А1 10,А240С,12,62 730>1т,63 350<1т,ЕВРАЗ Маркет Крдр (800) 511-09-53
Арматура А1 10,А240,6 размотка,62 750>3т,62 750<3т,ЕВРАЗ Маркет Пен (800) 511-09-53
Арматура А1 10,,,62 800,,ГК Орион-Металл Яро (4855) 22-29-29
Арматура А1 10,,,62 800,,ГК Орион-Металл Влгда (8172) 51-55-55
Арматура А1 10,,,62 800,,ГК Орион-Металл Чер (8202) 20-22-88 доб.
Арматура А1 10,,6,62 800,,Сталь-Череповец СПб (812) 325-34-84
Арматура А1 10,3пс/сп,11.7,62 900,,Ариэль Металл Сртв (495) 981-41-45
Арматура А1 10,3пс/сп,6,62 900,,Ариэль Металл Сртв (495) 981-41-45
Арматура А1 10,А240,бухты,62 930>1т,63 550<1т,ЕВРАЗ Маркет Соч (800) 511-09-53
Арматура А1 10,А240С,11.7,63 000,,А ГРУПП РнД (863) 303-63-18
Арматура А1 10,А240С,11.7,63 000,,А ГРУПП Крдр (861) 203-37-36
Арматура А1 10,А240,11.7,63 000,,А ГРУПП Крдр (861) 203-37-36
Арматура А1 10,А240,12 6,63 000,,СИБМЕТСНАБ Нск (383) 249-37-70
Арматура А1 10,А240,12,63 240>1т,63 860<1т,ЕВРАЗ Маркет Нкз (800) 511-09-53
Арматура А1 10,А240,6,63 240>1т,63 860<1т,ЕВРАЗ Маркет Нкз (800) 511-09-53
Арматура А1 10,А240,6,63 240>1т,63 860<1т,ЕВРАЗ Маркет Кем (800) 511-09-53
Арматура А1 10,А240,12,63 240>1т,63 860<1т,ЕВРАЗ Маркет Кем (800) 511-09-53
Арматура А1 10,3сп,бухты,63 300,,Мечел-Сервис Мск (800) 700-95-50
Арматура А1 10,ст3,бухты,63 300,,УВМ-СТАЛЬ Екб (343) 288-30-30
Арматура А1 10,ст3,бухты,63 300,,УВМ-СТАЛЬ Чел (351) 220-88-08
Арматура А1 10,А240,бухты,63 350>3т,63 350<3т,ЕВРАЗ Маркет Ввк (800) 511-09-53
Арматура А1 10,3пс/сп,11.7,63 400,,Ариэль Металл Крдр (495) 981-41-45
Арматура А1 10,3пс/сп,6,63 400,,Ариэль Металл Крдр (495) 981-41-45
Арматура А1 10,А240,11.7 размотка,63 450>3т,63 450<3т,ЕВРАЗ Маркет Срнск (800) 511-09-53
Арматура А1 10,А240С,11.7,63 550>1т,64 170<1т,ЕВРАЗ Маркет Таг (800) 511-09-53
Арматура А1 10,А240,12,63 550>1т,64 170<1т,ЕВРАЗ Маркет Таг (800) 511-09-53
Арматура А1 10,А240С,12,63 650>1т,64 270<1т,ЕВРАЗ Маркет Влгрд (800) 511-09-53
Арматура А1 10,3пс/сп,11.7,63 800,,Ариэль Металл РнД (863) 443-10-55
Арматура А1 10,3пс/сп,6,63 800,,Ариэль Металл РнД (863) 443-10-55
Арматура А1 10,А240С,11.7,63 800>15т,64 1005-15т,Металлоторг РнД (863) 303-13-10
Арматура А1 10,А240С,12,63 800>15т,64 1005-15т,Металлоторг Нал (8662) 77-95-00
Арматура А1 10,А240С,11.7,63 800>15т,64 1005-15т,Металлоторг Нчск (863) 303-13-17
Арматура А1 10,А240С,11.7,63 800>15т,64 1005-15т,Металлоторг Пят (8793) 36-62-00
Арматура А1 10,А240С,12,63 800>15т,64 1005-15т,Металлоторг Пят (8793) 36-62-00
Арматура А1 10,А240С,11.7,63 800>15т,64 1005-15т,Металлоторг Мах (8722) 55-41-01
Арматура А1 10,ст3,бухты,63 800,,УВМ-СТАЛЬ Мск (495) 137-74-76 доб.
Арматура А1 10,А240С,12,63 800>15т,64 1005-15т,Металлоторг Вкз (8672) 40-51-46
Арматура А1 10,А240С,11.7,63 800>15т,64 1005-15т,Металлоторг Вкз (8672) 40-51-46
Арматура А1 10,А240С,12,63 800>15т,64 1005-15т,Металлоторг Крдр (861) 214-34-33
Арматура А1 10,А240С,11.7,63 800>15т,64 1005-15т,Металлоторг Крдр (861) 214-34-33
Арматура А1 10,А240С,11.7,63 800>15т,64 1005-15т,Металлоторг Став (8652) 50-11-81
Арматура А1 10,А240,12,63 860>3т,63 860<3т,ЕВРАЗ Маркет Нск (800) 511-09-53
Арматура А1 10,А240,6,63 860>3т,63 860<3т,ЕВРАЗ Маркет Бар (800) 511-09-53
Арматура А1 10,А240,бухты,63 900,,А ГРУПП Ввк (4232) 00-39-07
Арматура А1 10,А240,12,64 010>3т,64 010<3т,ЕВРАЗ Маркет Крснк (800) 511-09-53
Арматура А1 10,А240С,6 размотка,64 260>1т,64 890<1т,ЕВРАЗ Маркет Нкз (800) 511-09-53
Арматура А1 10,А240,12 6,64 400,,СИБМЕТСНАБ Крснк (391) 204-01-35
Арматура А1 10,ст3,бухты,64 400,,УВМ-СТАЛЬ Сам (846) 233-65-63
Арматура А1 10,ст3,6,64 400,,УВМ-СТАЛЬ Екб (343) 288-30-30
Арматура А1 10,ст3,6,64 400,,УВМ-СТАЛЬ Чел (351) 220-88-08
Арматура А1 10,А240С А240,6,64 500,66 5001-5т,Металл Индустрия Крдр (861) 279-17-00
Арматура А1 10,ст3,11.7,64 600,,УВМ-СТАЛЬ Сртв (8452) 75-41-79
Арматура А1 10,А240С,11.7,64 760>3т,64 760<3т,ЕВРАЗ Маркет Мск (800) 511-09-53
Арматура А1 10,А240,11.7,64 760>3т,64 760<3т,ЕВРАЗ Маркет Мск (800) 511-09-53
Арматура А1 10,А240,бухты,65 000,,А ГРУПП Хаб (4212) 944-077
Арматура А1 10,,,65 300,,ГК Орион-Металл Вмр (49244) 9-15-15
Арматура А1 10,,,65 300,,ГК Орион-Металл Мск (496) 217-33-33
Арматура А1 10,,,65 300,,ГК Орион-Металл Тве (48233) 5-29-29
Арматура А1 10,А240,6 размотка,65 920>3т,65 920<3т,ЕВРАЗ Маркет Бар (800) 511-09-53
Арматура А1 10,3сп,11.75,65 960,,МАРТЕН Ввк (423) 260-65-79
Арматура А1 10,3сп,6.02,65 960,,МАРТЕН Ввк (423) 260-65-79
Арматура А1 10,ст3,бухты,66 000,,УВМ-СТАЛЬ Влгрд (8442) 53-03-05
Арматура А1 10,А240,6 размотка,66 150>1т,66 800<1т,ЕВРАЗ Маркет Кем (800) 511-09-53
Арматура А1 10,,,66 300,,ГК Орион-Металл ВН (81664) 2-07-17
Арматура А1 10,А240,6 размотка,66 300>1т,66 950<1т,ЕВРАЗ Маркет Соч (800) 511-09-53
Арматура А1 10,А240,11.7 размотка,66 440>3т,66 440<3т,ЕВРАЗ Маркет Ввк (800) 511-09-53
Арматура А1 10,А240,11.7 размотка,66 440>3т,66 440<3т,ЕВРАЗ Маркет Ввк (800) 511-09-53
Арматура А1 10,А240,,66 500,,РКА ГРУПП Сим (365) 267-35-53
Арматура А1 10,А240,,66 500,,РКА ГРУПП Сев (365) 267-35-53
Арматура А1 10,А240,12,67 000,,А ГРУПП РнД (863) 303-63-18
Арматура А1 10,ст3,бухты,67 500,,СтройПартнер Аст (8512) 23-85-23
